iter	RMSE
0	3887.033654
1	3741.542923
2	3601.636218
3	3467.994491
4	3339.535366
5	3217.549091
6	3099.42038
7	2986.635094
8	2878.956292
9	2775.021304
10	2677.345056
11	2582.684331
12	2491.577871
13	2404.096992
14	2319.784356
15	2238.533171
16	2161.619674
17	2086.032046
18	2015.519961
19	1949.290162
20	1884.085848
21	1822.2021
22	1762.384192
23	1705.435579
24	1650.78531
25	1598.735582
26	1548.619324
27	1501.009066
28	1455.948565
29	1412.290677
30	1370.235969
31	1330.791517
32	1292.120153
33	1256.225171
34	1221.911775
35	1188.924052
36	1157.137265
37	1127.229157
38	1099.204464
39	1071.895701
40	1046.21882
41	1021.79819
42	998.9858235
43	976.9095532
44	956.2252101
45	936.4269999
46	917.370352
47	899.1996188
48	881.9659278
49	866.001592
50	850.6402452
51	835.9758758
52	822.2381901
53	809.6788453
54	797.1568948
55	785.3368773
56	774.2941752
57	764.2111032
58	754.6795648
59	745.4931851
60	736.8390145
61	728.6659406
62	721.2098097
63	713.8400558
64	706.6624221
65	700.3775101
66	694.1827205
67	688.0784032
68	682.4351867
69	677.111932
70	672.1115903
71	667.5046683
72	663.0296496
73	658.909262
74	655.1092202
75	651.328289
76	647.8366122
77	644.6195875
78	641.40346
79	638.5442687
80	635.8831686
81	633.2283453
82	630.5656627
83	628.2158905
84	625.9429406
85	623.7966163
86	621.7418787
87	619.8355303
88	617.8921242
89	616.1754354
90	614.4374777
91	612.8349116
92	611.4089627
93	609.9069589
94	608.7027679
95	607.2803375
96	606.064085
97	604.9592355
98	603.8402949
99	602.7646535
100	601.6812597
101	600.7094113
102	599.79732
103	598.8694442
104	598.0315875
105	597.1468452
106	596.3454972
107	595.5320946
108	594.8262157
109	594.2002616
110	593.5370774
111	592.8878109
112	592.1792965
113	591.6393181
114	591.1065874
115	590.6256272
116	590.0154497
117	589.3943762
118	588.9108884
119	588.4161062
120	587.9525546
121	587.51676
122	587.0639624
123	586.598958
124	586.2449295
125	585.8630677
126	585.4248237
127	585.0683401
128	584.76846
129	584.4458616
130	584.1460238
131	583.7737125
132	583.3962265
133	583.0853859
134	582.7737646
135	582.4728443
136	582.2149839
137	581.9818508
138	581.722505
139	581.4639483
140	581.2639251
141	581.0151889
142	580.7746345
143	580.533199
144	580.2572824
145	579.988602
146	579.7767911
147	579.5937912
148	579.410875
149	579.1602308
150	578.9670491
151	578.7472607
152	578.6086967
153	578.3970964
154	578.2306354
155	578.0539826
156	577.8840226
157	577.7025647
158	577.5778579
159	577.4306329
160	577.249926
161	576.9924458
162	576.7579775
163	576.6259528
164	576.4821726
165	576.3384573
166	576.1740624
167	575.9632718
168	575.8159021
169	575.6463826
170	575.5554344
171	575.3670412
172	575.2489279
173	575.0797862
174	574.9092106
175	574.8026718
176	574.6822712
177	574.5598767
178	574.461797
179	574.3812655
180	574.2421804
181	574.1409072
182	574.0298402
183	573.9042955
184	573.7371286
185	573.5833844
186	573.4941598
187	573.3042209
188	573.236335
189	573.0942321
190	572.9983405
191	572.8928365
192	572.7855412
193	572.7130606
194	572.5894355
195	572.4823405
196	572.3950175
197	572.3344666
198	572.2422809
199	572.1137356
200	572.0282547
201	571.9404684
202	571.8651
203	571.7452023
204	571.6750274
205	571.5853439
206	571.496493
207	571.4244399
208	571.3130162
209	571.2008439
210	571.1321526
211	571.0507459
212	570.9844446
213	570.9209264
214	570.7763435
215	570.7275136
216	570.5937271
217	570.4793525
218	570.4113682
219	570.3495735
220	570.2650204
221	570.1957268
222	570.056789
223	569.9607342
224	569.7996795
225	569.7204951
226	569.6228143
227	569.5152418
228	569.4056459
229	569.3559264
230	569.3055652
231	569.24946
232	569.1830433
233	569.1192365
234	569.0499333
235	569.0049313
236	568.896654
237	568.8181374
238	568.6753885
239	568.5775076
240	568.4981704
241	568.3678144
242	568.324
243	568.2353055
244	568.1812074
245	568.1241645
246	567.9554351
247	567.8991842
248	567.8242958
249	567.7606124
250	567.6947941
251	567.6015694
252	567.5616668
253	567.5111073
254	567.440491
255	567.3867889
256	567.3199409
257	567.1667759
258	567.1060808
259	567.0144557
260	566.9410925
261	566.8901851
262	566.7639993
263	566.7080692
264	566.6431897
265	566.5772396
266	566.4888889
267	566.4291036
268	566.3509729
269	566.2985479
270	566.217661
271	566.1773638
272	566.0696353
273	566.0159335
274	565.9694639
275	565.9135935
276	565.8415905
277	565.7736322
278	565.7205885
279	565.6185205
280	565.5697547
281	565.535948
282	565.4767635
283	565.3854928
284	565.3248998
285	565.2693081
286	565.221654
287	565.1619475
288	565.058849
289	565.0210538
290	564.9626701
291	564.8770133
292	564.8055986
293	564.7249808
294	564.6738785
295	564.6338927
296	564.5627581
297	564.5293198
298	564.4624557
299	564.3845469
300	564.3128803
301	564.2620547
302	564.2220723
303	564.1657806
304	564.1143834
305	564.081022
306	564.0207153
307	563.9501785
308	563.8843317
309	563.8295233
310	563.7570302
311	563.6237562
312	563.6037294
313	563.5435228
314	563.4142311
315	563.297872
316	563.2457823
317	563.2159842
318	563.0894847
319	563.0552357
320	562.9759076
321	562.9227678
322	562.855876
323	562.7842326
324	562.7245709
325	562.6630592
326	562.5827521
327	562.5234301
328	562.4882018
329	562.4294677
330	562.3980211
331	562.3521214
332	562.3022645
333	562.2724897
334	562.1927045
335	562.1045067
336	562.0515192
337	562.0132987
338	561.987902
339	561.9735773
340	561.8972112
341	561.8870551
342	561.8654293
343	561.7503032
344	561.7084792
345	561.6791223
346	561.6316898
347	561.6122784
348	561.5794976
349	561.5179034
350	561.4630501
351	561.3760251
352	561.3500656
353	561.2994519
354	561.1729371
355	561.054202
356	561.0160855
357	560.9839506
358	560.9008056
359	560.8252797
360	560.8028035
361	560.7485232
362	560.6676557
363	560.6184997
364	560.5497831
365	560.44949
366	560.3371036
367	560.2874234
368	560.1717614
369	560.0638427
370	560.0398666
371	559.980883
372	559.9154135
373	559.8946151
