iter	Passed	Remaining
0	17	10729
1	34	10219
2	49	9875
3	64	9683
4	80	9530
5	94	9379
6	109	9252
7	123	9107
8	137	9051
9	151	8951
10	166	8904
11	180	8851
12	195	8814
13	209	8782
14	224	8754
15	238	8714
16	253	8679
17	267	8650
18	281	8607
19	296	8596
20	311	8590
21	326	8581
22	341	8566
23	356	8556
24	370	8516
25	384	8481
26	398	8451
27	412	8432
28	427	8414
29	441	8395
30	456	8373
31	471	8361
32	485	8337
33	498	8302
34	512	8277
35	526	8251
36	541	8232
37	555	8209
38	569	8190
39	583	8170
40	597	8147
41	612	8134
42	626	8121
43	642	8116
44	657	8107
45	671	8088
46	685	8068
47	700	8054
48	714	8036
49	729	8021
50	744	8012
51	758	7993
52	773	7980
53	787	7963
54	801	7946
55	816	7931
56	831	7917
57	845	7898
58	860	7888
59	874	7874
60	889	7857
61	903	7840
62	917	7822
63	932	7806
64	947	7798
65	962	7790
66	976	7771
67	991	7757
68	1006	7745
69	1021	7730
70	1035	7713
71	1049	7699
72	1063	7680
73	1078	7663
74	1092	7648
75	1107	7635
76	1121	7615
77	1135	7598
78	1150	7587
79	1164	7572
80	1178	7552
81	1193	7541
82	1207	7522
83	1221	7503
84	1236	7491
85	1250	7476
86	1265	7462
87	1280	7448
88	1295	7435
89	1308	7416
90	1322	7399
91	1338	7388
92	1352	7374
93	1367	7360
94	1381	7344
95	1396	7330
96	1409	7311
97	1423	7293
98	1437	7273
99	1451	7256
100	1466	7244
101	1478	7220
102	1493	7205
103	1506	7185
104	1519	7164
105	1533	7147
106	1547	7131
107	1563	7120
108	1577	7107
109	1592	7092
110	1606	7075
111	1620	7060
112	1634	7043
113	1648	7027
114	1663	7013
115	1676	6993
116	1690	6978
117	1703	6957
118	1717	6940
119	1730	6923
120	1745	6909
121	1759	6894
122	1772	6874
123	1787	6861
124	1801	6845
125	1815	6829
126	1829	6812
127	1843	6796
128	1857	6780
129	1871	6764
130	1885	6751
131	1899	6733
132	1913	6717
133	1926	6700
134	1939	6679
135	1953	6663
136	1967	6648
137	1980	6631
138	1993	6612
139	2007	6597
140	2021	6579
141	2033	6557
142	2047	6543
143	2061	6529
144	2075	6511
145	2088	6493
146	2101	6477
147	2115	6460
148	2129	6445
149	2142	6428
150	2157	6414
151	2170	6396
152	2183	6380
153	2197	6364
154	2211	6349
155	2225	6333
156	2239	6320
157	2254	6307
158	2268	6291
159	2281	6274
160	2295	6258
161	2309	6243
162	2322	6227
163	2335	6209
164	2349	6194
165	2363	6178
166	2377	6163
167	2390	6147
168	2404	6131
169	2417	6115
170	2430	6097
171	2443	6080
172	2457	6065
173	2469	6046
174	2482	6028
175	2496	6013
176	2509	5996
177	2523	5982
178	2539	5971
179	2553	5958
180	2566	5941
181	2580	5927
182	2593	5910
183	2607	5895
184	2621	5881
185	2635	5865
186	2649	5852
187	2662	5835
188	2677	5822
189	2690	5806
190	2704	5792
191	2718	5777
192	2731	5759
193	2746	5747
194	2759	5731
195	2773	5717
196	2786	5700
197	2801	5687
198	2814	5671
199	2827	5654
200	2839	5636
201	2853	5623
202	2866	5606
203	2880	5591
204	2893	5576
205	2908	5563
206	2922	5548
207	2935	5532
208	2948	5515
209	2961	5499
210	2975	5486
211	2989	5471
212	3004	5458
213	3017	5441
214	3029	5425
215	3044	5412
216	3058	5397
217	3072	5384
218	3086	5370
219	3101	5356
220	3114	5341
221	3128	5327
222	3143	5313
223	3157	5300
224	3170	5284
225	3183	5268
226	3197	5254
227	3212	5240
228	3226	5226
229	3239	5210
230	3253	5197
231	3266	5181
232	3279	5165
233	3291	5149
234	3305	5134
235	3321	5122
236	3333	5105
237	3347	5091
238	3361	5077
239	3377	5066
240	3390	5050
241	3403	5035
242	3417	5020
243	3430	5004
244	3444	4990
245	3458	4976
246	3471	4960
247	3486	4949
248	3499	4933
249	3513	4918
250	3526	4902
251	3540	4889
252	3554	4875
253	3567	4859
254	3579	4843
255	3593	4829
256	3607	4814
257	3620	4798
258	3633	4783
259	3647	4769
260	3661	4755
261	3675	4742
262	3690	4728
263	3703	4713
264	3716	4697
265	3729	4683
266	3743	4668
267	3757	4654
268	3770	4639
269	3783	4624
270	3797	4610
271	3812	4597
272	3825	4582
273	3839	4567
274	3852	4553
275	3866	4539
276	3880	4524
277	3893	4510
278	3907	4495
279	3919	4479
280	3934	4466
281	3947	4451
282	3960	4436
283	3974	4422
284	3988	4408
285	4002	4394
286	4017	4381
287	4031	4367
288	4044	4352
289	4058	4338
290	4071	4323
291	4085	4309
292	4100	4296
293	4114	4282
294	4129	4269
295	4142	4254
296	4156	4240
297	4170	4226
298	4184	4212
299	4197	4197
300	4211	4183
301	4226	4170
302	4238	4154
303	4251	4139
304	4265	4125
305	4279	4111
306	4293	4097
307	4309	4085
308	4323	4071
309	4336	4056
310	4351	4043
311	4365	4030
312	4380	4016
313	4394	4002
314	4408	3988
315	4421	3973
316	4436	3960
317	4450	3946
318	4463	3931
319	4477	3917
320	4491	3903
321	4504	3889
322	4519	3875
323	4533	3862
324	4548	3848
325	4561	3834
326	4576	3820
327	4590	3806
328	4604	3792
329	4618	3778
330	4632	3764
331	4646	3751
332	4661	3737
333	4676	3724
334	4690	3710
335	4706	3697
336	4721	3684
337	4735	3670
338	4748	3656
339	4761	3641
340	4775	3627
341	4789	3613
342	4803	3599
343	4817	3585
344	4832	3571
345	4847	3558
346	4861	3544
347	4874	3530
348	4890	3517
349	4903	3502
350	4917	3488
351	4931	3474
352	4946	3460
353	4960	3447
354	4973	3432
355	4988	3418
356	5003	3405
357	5017	3391
358	5032	3378
359	5046	3364
360	5059	3349
361	5075	3336
362	5089	3322
363	5104	3309
364	5118	3295
365	5133	3281
366	5145	3266
367	5159	3252
368	5173	3238
369	5185	3223
370	5200	3209
371	5213	3195
372	5229	3182
373	5243	3168
374	5258	3154
375	5272	3140
376	5285	3126
377	5299	3112
378	5313	3098
379	5328	3084
380	5339	3069
381	5354	3055
382	5369	3042
383	5385	3029
384	5398	3014
385	5412	3000
386	5425	2986
387	5440	2972
388	5452	2957
389	5466	2943
390	5480	2929
391	5495	2916
392	5508	2901
393	5522	2887
394	5535	2873
395	5549	2858
396	5563	2844
397	5578	2831
398	5592	2817
399	5605	2802
400	5619	2788
401	5633	2774
402	5647	2760
403	5662	2746
404	5675	2732
405	5690	2719
406	5706	2705
407	5719	2691
408	5734	2677
409	5746	2663
410	5760	2649
411	5774	2634
412	5789	2621
413	5803	2607
414	5816	2592
415	5830	2578
416	5844	2564
417	5857	2550
418	5871	2536
419	5885	2522
420	5899	2508
421	5912	2494
422	5925	2479
423	5939	2465
424	5952	2450
425	5965	2436
426	5979	2422
427	5993	2408
428	6007	2394
429	6020	2380
430	6034	2366
431	6046	2351
432	6061	2337
433	6075	2323
434	6089	2309
435	6103	2295
436	6117	2281
437	6130	2267
438	6144	2253
439	6157	2239
440	6170	2224
441	6184	2210
442	6198	2196
443	6212	2182
444	6225	2168
445	6238	2154
446	6252	2140
447	6268	2126
448	6282	2112
449	6295	2098
450	6309	2084
451	6323	2070
452	6337	2056
453	6351	2042
454	6365	2028
455	6379	2014
456	6393	2000
457	6406	1986
458	6420	1972
459	6436	1958
460	6451	1945
461	6464	1930
462	6478	1916
463	6493	1903
464	6507	1889
465	6521	1875
466	6533	1860
467	6548	1846
468	6562	1833
469	6577	1819
470	6589	1804
471	6603	1790
472	6617	1776
473	6631	1762
474	6644	1748
475	6658	1734
476	6672	1720
477	6687	1706
478	6701	1692
479	6713	1678
480	6727	1664
481	6741	1650
482	6754	1636
483	6767	1621
484	6780	1607
485	6795	1594
486	6809	1580
487	6824	1566
488	6837	1552
489	6849	1537
490	6863	1523
491	6877	1509
492	6890	1495
493	6904	1481
494	6917	1467
495	6932	1453
496	6947	1439
497	6961	1425
498	6976	1412
499	6989	1397
500	7001	1383
501	7016	1369
502	7030	1355
503	7045	1342
504	7061	1328
505	7074	1314
506	7088	1300
507	7102	1286
508	7116	1272
509	7130	1258
510	7144	1244
511	7159	1230
512	7173	1216
513	7187	1202
514	7201	1188
515	7214	1174
516	7227	1160
517	7240	1146
518	7253	1131
519	7267	1118
520	7281	1104
521	7294	1089
522	7308	1075
523	7321	1061
524	7335	1047
525	7350	1034
526	7362	1019
527	7376	1005
528	7390	991
529	7405	978
530	7418	964
531	7433	950
532	7447	936
533	7461	922
534	7475	908
535	7488	894
536	7501	880
537	7516	866
538	7530	852
539	7545	838
540	7559	824
541	7573	810
542	7587	796
543	7602	782
544	7616	768
545	7629	754
546	7644	740
547	7659	726
548	7673	712
549	7685	698
550	7699	684
551	7714	670
552	7727	656
553	7741	642
554	7755	628
555	7768	614
556	7781	600
557	7793	586
558	7806	572
559	7820	558
560	7834	544
561	7848	530
562	7861	516
563	7875	502
564	7887	488
565	7900	474
566	7912	460
567	7926	446
568	7940	432
569	7954	418
570	7968	404
571	7981	390
572	7995	376
573	8008	362
574	8022	348
575	8036	334
576	8051	320
577	8066	307
578	8080	293
579	8095	279
580	8110	265
581	8125	251
582	8140	237
583	8155	223
584	8171	209
585	8187	195
586	8202	181
587	8217	167
588	8232	153
589	8247	139
590	8262	125
591	8277	111
592	8292	97
593	8305	83
594	8320	69
595	8334	55
596	8350	41
597	8366	27
598	8382	13
599	8398	0
