iter	RMSE
0	3889.896127
1	3746.484839
2	3608.259249
3	3478.147564
4	3353.500591
5	3230.962455
6	3114.579491
7	3002.244421
8	2894.797708
9	2789.903521
10	2692.597993
11	2597.126838
12	2506.46248
13	2418.605952
14	2336.658796
15	2257.847584
16	2179.895257
17	2104.961127
18	2033.570172
19	1966.073312
20	1902.362378
21	1840.970722
22	1781.010137
23	1725.339995
24	1672.453241
25	1620.698018
26	1570.108363
27	1523.214375
28	1477.039317
29	1433.148691
30	1390.483714
31	1351.963644
32	1313.704754
33	1278.530445
34	1244.816616
35	1212.5363
36	1181.256103
37	1150.976215
38	1122.127072
39	1095.058017
40	1069.045585
41	1044.562745
42	1021.236982
43	999.0341521
44	978.1810767
45	958.1520316
46	938.597146
47	921.037508
48	904.1156417
49	887.4340782
50	872.5969161
51	858.4569616
52	844.4711862
53	831.370897
54	819.0606238
55	807.424814
56	796.9148441
57	786.2574331
58	775.7337542
59	766.5308468
60	757.6523584
61	749.1177905
62	741.3582996
63	734.0789697
64	726.5108674
65	719.4677893
66	713.2683763
67	707.2878805
68	701.5688956
69	695.9969865
70	690.8140358
71	685.8436122
72	681.1948378
73	676.8989931
74	672.6121268
75	668.4938213
76	664.7594485
77	661.5063812
78	657.8947195
79	654.7299126
80	651.5331677
81	648.815663
82	646.0766052
83	643.3569782
84	640.8671572
85	638.5401781
86	636.297739
87	634.1834047
88	632.156919
89	630.0304366
90	628.0709234
91	626.2945686
92	624.445084
93	622.7607183
94	621.1539758
95	619.7190439
96	618.3964367
97	617.0939494
98	615.6622842
99	614.4900492
100	613.0543636
101	611.7402508
102	610.5941792
103	609.6414485
104	608.5463159
105	607.5857706
106	606.6355977
107	605.7909457
108	604.9189558
109	604.0136374
110	603.1911202
111	602.4086151
112	601.6921849
113	601.0261498
114	600.2466041
115	599.6107051
116	598.9943032
117	598.3355718
118	597.6638027
119	597.013673
120	596.488012
121	595.9462388
122	595.2672432
123	594.7572502
124	594.259635
125	593.7828652
126	593.2637554
127	592.8080264
128	592.3395233
129	591.9796356
130	591.5674731
131	591.2824347
132	590.9414197
133	590.5863163
134	590.2581792
135	589.9882022
136	589.6808976
137	589.303092
138	588.9990877
139	588.6735337
140	588.4512895
141	588.2171376
142	587.9672164
143	587.5952964
144	587.3304254
145	587.1125215
146	586.7993015
147	586.4999936
148	586.2635877
149	585.9346542
150	585.6854075
151	585.4246752
152	585.1488431
153	584.8740704
154	584.682374
155	584.508431
156	584.3396268
157	584.1415323
158	583.8883736
159	583.5916741
160	583.3506881
161	583.0953672
162	582.8888643
163	582.5945821
164	582.4625229
165	582.2379948
166	582.0945592
167	581.9515895
168	581.7283772
169	581.5829539
170	581.4472681
171	581.1150578
172	580.9833743
173	580.8346224
174	580.7197083
175	580.4432732
176	580.2202096
177	580.0918346
178	579.9357526
179	579.8048617
180	579.6739369
181	579.5228117
182	579.388059
183	579.2118107
184	579.0731191
185	578.9557271
186	578.8210537
187	578.6661047
188	578.5738839
189	578.4459284
190	578.2918308
191	578.19941
192	578.0986291
193	578.0197287
194	577.8753843
195	577.8080022
196	577.710148
197	577.6237515
198	577.4645107
199	577.3615759
200	577.1764013
201	576.9874474
202	576.8524318
203	576.7274857
204	576.5855625
205	576.4651075
206	576.3582478
207	576.2370629
208	576.1644645
209	576.0880031
210	576.0332971
211	575.9354233
212	575.8383667
213	575.7518334
214	575.6532795
215	575.5848936
216	575.404856
217	575.3252863
218	575.2265798
219	575.0669169
220	574.9494338
221	574.7843243
222	574.6463375
223	574.5582707
224	574.3996721
225	574.334618
226	574.2853068
227	574.1840772
228	574.1113625
229	574.047721
230	573.9668388
231	573.8727277
232	573.7715135
233	573.6920191
234	573.603005
235	573.529722
236	573.4071025
237	573.3368179
238	573.2647268
239	573.1983507
240	573.1268702
241	573.0713456
242	573.0190277
243	572.9347129
244	572.8594505
245	572.8001595
246	572.7465357
247	572.6537661
248	572.5911506
249	572.5387443
250	572.470179
251	572.4111734
252	572.3322854
253	572.249312
254	572.2182848
255	572.1169932
256	572.0672913
257	572.023633
258	571.9547966
259	571.8637464
260	571.7539367
261	571.6783161
262	571.5687293
263	571.4765145
264	571.4139837
265	571.360572
266	571.2837911
267	571.1668311
268	571.1218488
269	571.0674768
270	571.0021238
271	570.9314642
272	570.8882658
273	570.8236604
274	570.732996
275	570.6405174
276	570.5997095
277	570.5359828
278	570.4557591
279	570.3545602
280	570.2941963
281	570.2547856
282	570.2088422
283	570.1795024
284	570.1266549
285	570.0574814
286	569.992202
287	569.9449442
288	569.8861055
289	569.7763267
290	569.7068424
291	569.6085796
292	569.5629635
293	569.5078977
294	569.457559
295	569.3476477
296	569.3011409
297	569.1964529
298	569.1630738
299	569.1113005
300	569.0442466
301	568.983755
302	568.9050098
303	568.8672442
304	568.8170211
305	568.7402999
306	568.6835546
307	568.6178313
308	568.5276202
309	568.4868035
310	568.4187031
311	568.3421968
312	568.298655
313	568.2800782
314	568.2163329
315	568.1676202
316	568.0807451
317	568.0114991
318	567.9340278
319	567.9020419
320	567.85284
321	567.8120792
322	567.7535364
323	567.7177125
324	567.6509207
325	567.6197742
326	567.5589358
327	567.510849
328	567.4534834
329	567.431907
330	567.3717576
331	567.3411095
332	567.3017149
333	567.2393616
334	567.170742
335	567.115958
336	567.0861681
337	567.0249529
338	566.96673
339	566.9189091
340	566.8545242
341	566.7923434
342	566.757014
343	566.6658676
344	566.6218533
345	566.5634944
346	566.5217504
347	566.4808607
348	566.4064785
349	566.3297793
350	566.2851332
351	566.2552046
352	566.2215868
353	566.1671321
354	566.0561593
355	566.0362721
356	565.9892902
357	565.9387135
358	565.8943951
359	565.8421559
360	565.7446649
361	565.6942707
362	565.6489473
363	565.5957634
364	565.5638112
365	565.4738033
366	565.4112647
367	565.3567931
368	565.2840904
369	565.2125907
370	565.1941487
371	565.1204761
372	565.08599
373	565.0216725
374	564.9904623
375	564.9516941
376	564.9064549
377	564.8747908
378	564.7546705
379	564.6773233
380	564.6506951
381	564.6360014
382	564.5890243
383	564.5311186
384	564.4863496
385	564.4102774
386	564.371586
387	564.3338176
388	564.2828354
389	564.238777
390	564.1821273
391	564.1444305
392	564.0997526
393	564.0101458
394	563.9585012
395	563.8876766
396	563.847449
397	563.7832066
398	563.7321422
399	563.6904074
400	563.5978487
401	563.5420702
402	563.492721
403	563.4427478
404	563.4055121
405	563.3651449
406	563.3532491
407	563.320999
408	563.2849233
409	563.2313295
410	563.1981389
411	563.1321519
412	563.0851046
413	563.0458843
414	563.0057732
415	562.9655881
416	562.914657
417	562.8334006
418	562.776381
419	562.7181571
420	562.7066963
421	562.6599799
422	562.5956781
423	562.5637348
424	562.5472811
425	562.515513
426	562.4623406
427	562.426918
428	562.3680656
429	562.357655
430	562.2999882
431	562.2621517
432	562.2052327
433	562.1507058
434	562.1216786
435	562.1130903
436	562.0804378
437	562.0377139
438	561.9793605
439	561.9519198
440	561.9196866
441	561.8734074
442	561.8390922
443	561.7954694
444	561.7518543
445	561.6605056
446	561.5988609
447	561.5451458
448	561.4597084
449	561.4013348
450	561.3631138
451	561.3339641
452	561.3233442
453	561.2760683
454	561.2223827
455	561.1778218
456	561.1238533
457	561.0907226
458	561.0512998
459	561.0142877
460	560.9709463
461	560.9096724
462	560.875247
463	560.8249434
464	560.7196954
465	560.6885632
466	560.6617242
467	560.6041181
468	560.5752943
469	560.5253521
470	560.4891975
471	560.4460578
472	560.4010025
473	560.3271055
474	560.2879477
475	560.241838
476	560.1964262
477	560.156917
478	560.1225492
479	560.080117
480	560.0303657
481	559.9960169
482	559.9507635
483	559.917941
484	559.8788018
485	559.8435762
486	559.7951855
487	559.7261453
488	559.6857594
489	559.6426258
490	559.5687852
491	559.5207262
492	559.4748392
493	559.452006
494	559.3636346
495	559.3181136
496	559.2910403
497	559.2511108
498	559.1980155
499	559.1288225
500	559.0922722
501	559.0504907
502	558.9865777
503	558.9527713
504	558.9043098
505	558.8498697
506	558.8029693
507	558.7702583
508	558.723705
509	558.6840324
510	558.6641893
511	558.6253178
512	558.5874916
513	558.5804627
514	558.5377239
515	558.4895515
516	558.4566228
517	558.4145869
518	558.3723708
519	558.2978695
520	558.2910788
521	558.2477239
522	558.1940759
523	558.1739849
524	558.1338911
525	558.0922677
526	558.0419719
527	557.9985116
528	557.9530948
529	557.9239518
530	557.8492998
531	557.8083999
532	557.7760484
533	557.7684974
534	557.7619468
535	557.7004257
536	557.6486735
537	557.626508
538	557.5956204
539	557.5654328
540	557.5586874
541	557.5262248
542	557.5198654
543	557.5137084
544	557.5081901
545	557.4700211
546	557.4438271
547	557.4321949
548	557.3919825
549	557.3790314
550	557.3194753
551	557.3136365
552	557.2620632
553	557.2322824
554	557.2043103
555	557.1558035
556	557.116726
557	557.1057667
558	557.0973126
559	557.0719186
560	557.0485454
561	557.0382409
562	557.0329507
563	557.0187437
564	556.9851833
565	556.9195077
566	556.878009
567	556.8325693
568	556.8095689
569	556.7812357
570	556.73265
571	556.6912174
572	556.673083
573	556.6350399
574	556.6084822
575	556.5698953
576	556.5395446
577	556.5052164
578	556.4792098
579	556.377775
580	556.3479715
581	556.3314004
582	556.3046233
583	556.2584596
584	556.2534054
585	556.2267278
586	556.2055103
587	556.1527189
588	556.0865147
589	556.0584488
590	556.0221918
591	555.9834585
592	555.9620002
593	555.9432949
594	555.9196949
595	555.8832579
596	555.8401949
597	555.8196461
598	555.7848789
599	555.7680851
