iter	Passed	Remaining
0	28	16778
1	52	15560
2	76	15322
3	99	14832
4	121	14505
5	146	14537
6	169	14338
7	191	14175
8	212	13963
9	233	13779
10	255	13669
11	277	13575
12	298	13470
13	321	13445
14	344	13427
15	365	13339
16	388	13328
17	411	13292
18	431	13197
19	455	13199
20	476	13129
21	498	13101
22	521	13084
23	544	13071
24	564	12978
25	588	12986
26	608	12917
27	628	12848
28	649	12782
29	667	12682
30	689	12659
31	712	12642
32	737	12672
33	762	12694
34	786	12693
35	811	12707
36	839	12771
37	862	12753
38	884	12717
39	907	12699
40	929	12671
41	951	12646
42	973	12611
43	995	12580
44	1018	12562
45	1040	12531
46	1058	12450
47	1079	12409
48	1101	12388
49	1124	12368
50	1147	12351
51	1168	12313
52	1190	12285
53	1210	12242
54	1233	12219
55	1254	12190
56	1275	12155
57	1298	12138
58	1320	12107
59	1341	12072
60	1363	12047
61	1384	12009
62	1405	11976
63	1427	11952
64	1450	11935
65	1470	11896
66	1491	11864
67	1514	11845
68	1532	11792
69	1548	11724
70	1566	11671
71	1588	11648
72	1608	11614
73	1630	11591
74	1651	11557
75	1672	11529
76	1694	11507
77	1714	11475
78	1734	11440
79	1757	11422
80	1777	11390
81	1798	11363
82	1820	11342
83	1841	11313
84	1862	11282
85	1881	11243
86	1897	11191
87	1914	11139
88	1931	11087
89	1951	11056
90	1971	11030
91	1993	11008
92	2011	10967
93	2031	10934
94	2050	10898
95	2069	10863
96	2090	10842
97	2113	10825
98	2138	10822
99	2163	10815
100	2182	10783
101	2201	10746
102	2220	10712
103	2240	10684
104	2257	10642
105	2277	10616
106	2297	10587
107	2317	10556
108	2338	10533
109	2357	10499
110	2374	10460
111	2395	10438
112	2415	10408
113	2436	10387
114	2456	10358
115	2475	10328
116	2496	10304
117	2517	10284
118	2536	10252
119	2557	10229
120	2576	10201
121	2596	10173
122	2615	10144
123	2633	10109
124	2650	10072
125	2668	10039
126	2687	10010
127	2706	9981
128	2725	9950
129	2743	9917
130	2761	9884
131	2779	9855
132	2798	9825
133	2817	9796
134	2836	9768
135	2853	9736
136	2873	9711
137	2891	9680
138	2910	9651
139	2929	9626
140	2949	9601
141	2969	9577
142	2987	9546
143	3005	9516
144	3022	9483
145	3040	9453
146	3058	9425
147	3077	9398
148	3095	9370
149	3111	9335
150	3129	9305
151	3145	9270
152	3164	9244
153	3183	9220
154	3200	9189
155	3217	9158
156	3236	9132
157	3254	9105
158	3272	9077
159	3291	9052
160	3306	9016
161	3326	8993
162	3343	8963
